44	38	58	5	83	35	6
43	35	60	5	78	33	7
42	36	58	6	80	33	8
41	37	57	6	79	33	8
40	38	56	6	81	33	9
39	37	58	5	80	31	7
38	38	55	6	82	35	8
37	38	57	6	81	35	9
36	37	57	6	80	31	9
35	36	59	6	79	32	8
34	35	60	5	78	30	7
33	37	58	6	79	31	8
32	36	58	6	79	29	7
31	37	58	5	82	30	7
30	38	57	5	82	32	7
29	37	58	5	86	31	8
28	39	56	6	87	33	8
27	38	57	5	85	35	8
26	39	56	5	85	36	8
25	39	56	5	85	34	6
24	38	57	6	84	32	6
23	37	58	5	83	31	8
22	38	56	6	82	34	7
21	41	54	5	87	37	8
20	38	56	6	84	31	7
19	38	56	6	84	35	8
18	42	53	6	84	40	9
17	41	54	5	87	36	12
16	41	52	7	86	36	9
15	40	54	6	87	36	10
14	40	53	7	87	34	6
13	38	57	5	81	36	6
12	39	56	6	84	33	8
11	40	55	5	86	35	10
10	42	52	6	88	36	9
9	43	51	6	88	39	10
8	42	53	5	88	38	10
7	40	54	5	86	37	7
6	41	53	6	87	35	11
5	43	52	5	86	41	8
4	45	47	8	89	42	13
